Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,52,9,Some Random Commen with Id 0
1,0,6,137,2,Some Random Commen with Id 1
2,0,6,154,4,Some Random Commen with Id 2
3,0,6,17,3,Some Random Commen with Id 3
4,0,6,173,7,Some Random Commen with Id 4
5,0,6,142,9,Some Random Commen with Id 5
6,0,6,23,1,Some Random Commen with Id 6
7,0,6,159,4,Some Random Commen with Id 7
8,1,0,14,6,Some Random Commen with Id 8
9,1,0,115,5,Some Random Commen with Id 9
10,1,0,93,3,Some Random Commen with Id 10
11,1,0,175,4,Some Random Commen with Id 11
12,1,0,71,1,Some Random Commen with Id 12
13,1,0,44,4,Some Random Commen with Id 13
14,1,0,29,3,Some Random Commen with Id 14
15,2,6,91,8,Some Random Commen with Id 15
16,2,6,70,5,Some Random Commen with Id 16
17,2,6,135,6,Some Random Commen with Id 17
18,2,6,185,2,Some Random Commen with Id 18
19,2,6,29,4,Some Random Commen with Id 19
20,2,6,154,3,Some Random Commen with Id 20
21,2,6,26,1,Some Random Commen with Id 21
22,2,6,84,9,Some Random Commen with Id 22
23,2,6,75,5,Some Random Commen with Id 23
24,3,4,88,5,Some Random Commen with Id 24
25,4,0,195,2,Some Random Commen with Id 25
26,4,0,15,7,Some Random Commen with Id 26
27,4,0,151,9,Some Random Commen with Id 27
28,4,0,98,8,Some Random Commen with Id 28
29,4,0,143,7,Some Random Commen with Id 29
30,4,0,137,7,Some Random Commen with Id 30
31,4,0,181,8,Some Random Commen with Id 31
32,4,0,168,7,Some Random Commen with Id 32
33,4,0,67,6,Some Random Commen with Id 33
34,5,4,121,8,Some Random Commen with Id 34
35,5,4,160,0,Some Random Commen with Id 35
36,5,4,179,8,Some Random Commen with Id 36
37,5,4,160,9,Some Random Commen with Id 37
38,5,4,134,0,Some Random Commen with Id 38
39,6,8,192,0,Some Random Commen with Id 39
40,6,8,65,4,Some Random Commen with Id 40
41,6,8,193,0,Some Random Commen with Id 41
42,6,8,141,9,Some Random Commen with Id 42
43,6,8,138,8,Some Random Commen with Id 43
44,6,8,65,7,Some Random Commen with Id 44
45,6,8,48,1,Some Random Commen with Id 45
46,6,8,22,7,Some Random Commen with Id 46
47,7,8,179,2,Some Random Commen with Id 47
48,7,8,162,8,Some Random Commen with Id 48
49,7,8,111,9,Some Random Commen with Id 49
50,7,8,12,0,Some Random Commen with Id 50
51,7,8,117,6,Some Random Commen with Id 51
52,8,5,123,0,Some Random Commen with Id 52
53,8,5,18,1,Some Random Commen with Id 53
54,8,5,71,4,Some Random Commen with Id 54
55,8,5,6,4,Some Random Commen with Id 55
56,8,5,133,7,Some Random Commen with Id 56
57,9,6,106,3,Some Random Commen with Id 57
58,10,3,118,4,Some Random Commen with Id 58
59,10,3,139,2,Some Random Commen with Id 59
60,10,3,42,8,Some Random Commen with Id 60
61,11,5,118,7,Some Random Commen with Id 61
62,11,5,193,9,Some Random Commen with Id 62
63,11,5,45,9,Some Random Commen with Id 63
64,11,5,10,8,Some Random Commen with Id 64
65,11,5,104,6,Some Random Commen with Id 65
66,11,5,12,8,Some Random Commen with Id 66
67,11,5,27,3,Some Random Commen with Id 67
68,11,5,139,4,Some Random Commen with Id 68
69,13,4,198,0,Some Random Commen with Id 69
70,13,4,26,3,Some Random Commen with Id 70
71,14,5,174,4,Some Random Commen with Id 71
72,14,5,17,0,Some Random Commen with Id 72
73,14,5,104,2,Some Random Commen with Id 73
74,14,5,169,9,Some Random Commen with Id 74
75,14,5,29,1,Some Random Commen with Id 75
76,14,5,179,6,Some Random Commen with Id 76
77,14,5,199,0,Some Random Commen with Id 77
78,14,5,6,9,Some Random Commen with Id 78
79,15,8,155,4,Some Random Commen with Id 79
80,15,8,163,8,Some Random Commen with Id 80
81,15,8,88,2,Some Random Commen with Id 81
82,15,8,155,2,Some Random Commen with Id 82
83,15,8,138,3,Some Random Commen with Id 83
84,15,8,26,9,Some Random Commen with Id 84
85,15,8,31,0,Some Random Commen with Id 85
86,16,1,182,1,Some Random Commen with Id 86
87,16,1,190,0,Some Random Commen with Id 87
88,16,1,75,7,Some Random Commen with Id 88
89,16,1,149,7,Some Random Commen with Id 89
90,17,5,31,2,Some Random Commen with Id 90
91,17,5,96,4,Some Random Commen with Id 91
92,17,5,52,2,Some Random Commen with Id 92
93,17,5,73,7,Some Random Commen with Id 93
94,17,5,74,5,Some Random Commen with Id 94
95,17,5,90,4,Some Random Commen with Id 95
96,17,5,157,9,Some Random Commen with Id 96
97,17,5,171,2,Some Random Commen with Id 97
98,17,5,31,6,Some Random Commen with Id 98
99,18,9,60,7,Some Random Commen with Id 99
100,18,9,155,5,Some Random Commen with Id 100
101,19,2,177,6,Some Random Commen with Id 101
102,19,2,37,7,Some Random Commen with Id 102
103,19,2,33,0,Some Random Commen with Id 103
104,19,2,149,6,Some Random Commen with Id 104
105,19,2,75,1,Some Random Commen with Id 105
106,19,2,57,9,Some Random Commen with Id 106
107,20,7,189,4,Some Random Commen with Id 107
108,20,7,153,4,Some Random Commen with Id 108
109,21,7,36,1,Some Random Commen with Id 109
110,21,7,196,3,Some Random Commen with Id 110
111,21,7,106,8,Some Random Commen with Id 111
112,22,7,86,0,Some Random Commen with Id 112
113,22,7,88,8,Some Random Commen with Id 113
114,22,7,23,2,Some Random Commen with Id 114
115,22,7,58,2,Some Random Commen with Id 115
116,22,7,113,9,Some Random Commen with Id 116
117,22,7,93,1,Some Random Commen with Id 117
118,23,3,80,0,Some Random Commen with Id 118
119,23,3,12,9,Some Random Commen with Id 119
120,23,3,31,5,Some Random Commen with Id 120
121,24,8,2,7,Some Random Commen with Id 121
122,24,8,33,3,Some Random Commen with Id 122
123,24,8,117,4,Some Random Commen with Id 123
124,24,8,196,5,Some Random Commen with Id 124
125,24,8,61,2,Some Random Commen with Id 125
126,24,8,194,0,Some Random Commen with Id 126
127,25,4,136,0,Some Random Commen with Id 127
128,25,4,30,1,Some Random Commen with Id 128
129,26,4,100,8,Some Random Commen with Id 129
130,26,4,3,0,Some Random Commen with Id 130
131,26,4,99,3,Some Random Commen with Id 131
132,26,4,184,4,Some Random Commen with Id 132
133,26,4,21,9,Some Random Commen with Id 133
134,26,4,9,5,Some Random Commen with Id 134
135,26,4,94,2,Some Random Commen with Id 135
136,26,4,174,9,Some Random Commen with Id 136
137,26,4,198,7,Some Random Commen with Id 137
138,28,2,148,0,Some Random Commen with Id 138
139,28,2,104,1,Some Random Commen with Id 139
140,28,2,105,7,Some Random Commen with Id 140
141,28,2,141,5,Some Random Commen with Id 141
142,28,2,128,1,Some Random Commen with Id 142
143,28,2,158,5,Some Random Commen with Id 143
144,29,4,151,8,Some Random Commen with Id 144
145,30,1,82,2,Some Random Commen with Id 145
146,30,1,177,3,Some Random Commen with Id 146
147,30,1,39,6,Some Random Commen with Id 147
148,30,1,79,7,Some Random Commen with Id 148
149,30,1,68,7,Some Random Commen with Id 149
150,30,1,35,2,Some Random Commen with Id 150
151,30,1,186,5,Some Random Commen with Id 151
152,30,1,182,5,Some Random Commen with Id 152
153,30,1,29,8,Some Random Commen with Id 153
154,31,2,13,7,Some Random Commen with Id 154
155,31,2,71,1,Some Random Commen with Id 155
156,31,2,125,2,Some Random Commen with Id 156
157,31,2,54,0,Some Random Commen with Id 157
158,31,2,8,4,Some Random Commen with Id 158
159,32,6,171,4,Some Random Commen with Id 159
160,32,6,31,3,Some Random Commen with Id 160
161,32,6,18,5,Some Random Commen with Id 161
162,32,6,136,8,Some Random Commen with Id 162
163,33,1,8,6,Some Random Commen with Id 163
164,33,1,9,9,Some Random Commen with Id 164
165,33,1,158,6,Some Random Commen with Id 165
166,33,1,94,5,Some Random Commen with Id 166
167,33,1,131,8,Some Random Commen with Id 167
168,34,5,16,5,Some Random Commen with Id 168
