Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,170,3,Some Random Commen with Id 0
1,0,4,69,5,Some Random Commen with Id 1
2,0,4,132,2,Some Random Commen with Id 2
3,0,4,193,5,Some Random Commen with Id 3
4,0,4,154,8,Some Random Commen with Id 4
5,0,4,127,8,Some Random Commen with Id 5
6,0,4,103,8,Some Random Commen with Id 6
7,0,4,145,9,Some Random Commen with Id 7
8,1,4,4,5,Some Random Commen with Id 8
9,1,4,71,2,Some Random Commen with Id 9
10,1,4,68,4,Some Random Commen with Id 10
11,1,4,153,8,Some Random Commen with Id 11
12,1,4,96,3,Some Random Commen with Id 12
13,1,4,146,6,Some Random Commen with Id 13
14,2,4,183,8,Some Random Commen with Id 14
15,3,5,195,6,Some Random Commen with Id 15
16,4,9,84,6,Some Random Commen with Id 16
17,4,9,93,9,Some Random Commen with Id 17
18,4,9,12,4,Some Random Commen with Id 18
19,5,4,97,2,Some Random Commen with Id 19
20,6,1,54,9,Some Random Commen with Id 20
21,6,1,58,0,Some Random Commen with Id 21
22,6,1,167,7,Some Random Commen with Id 22
23,6,1,93,9,Some Random Commen with Id 23
24,6,1,148,5,Some Random Commen with Id 24
25,6,1,5,2,Some Random Commen with Id 25
26,6,1,77,7,Some Random Commen with Id 26
27,6,1,168,1,Some Random Commen with Id 27
28,6,1,44,6,Some Random Commen with Id 28
29,7,5,103,4,Some Random Commen with Id 29
30,7,5,107,2,Some Random Commen with Id 30
31,7,5,100,1,Some Random Commen with Id 31
32,7,5,28,0,Some Random Commen with Id 32
33,7,5,184,4,Some Random Commen with Id 33
34,7,5,16,5,Some Random Commen with Id 34
35,7,5,16,9,Some Random Commen with Id 35
36,9,5,45,5,Some Random Commen with Id 36
37,9,5,106,0,Some Random Commen with Id 37
38,9,5,33,5,Some Random Commen with Id 38
39,9,5,79,6,Some Random Commen with Id 39
40,9,5,82,2,Some Random Commen with Id 40
41,9,5,25,7,Some Random Commen with Id 41
42,9,5,102,6,Some Random Commen with Id 42
43,9,5,104,6,Some Random Commen with Id 43
44,9,5,78,3,Some Random Commen with Id 44
45,11,7,157,5,Some Random Commen with Id 45
46,11,7,21,5,Some Random Commen with Id 46
47,11,7,97,0,Some Random Commen with Id 47
48,11,7,68,1,Some Random Commen with Id 48
49,11,7,34,7,Some Random Commen with Id 49
50,11,7,12,9,Some Random Commen with Id 50
51,11,7,57,2,Some Random Commen with Id 51
52,11,7,33,1,Some Random Commen with Id 52
53,11,7,33,3,Some Random Commen with Id 53
54,12,1,151,0,Some Random Commen with Id 54
55,12,1,115,2,Some Random Commen with Id 55
56,12,1,26,3,Some Random Commen with Id 56
57,12,1,169,0,Some Random Commen with Id 57
58,12,1,82,5,Some Random Commen with Id 58
59,12,1,164,9,Some Random Commen with Id 59
