Order-Id,Item-id,Product-Id,Quantity,Sales-Id,Customer-Id,Sales-Price-Per-Prod,Market-Segment
0,0,17,28,9,14,199,pharmaceutical
1,1,19,13,1,26,83,pharmaceutical
2,2,10,12,5,24,109,pharmaceutical
3,3,12,11,5,18,92,realestate
4,4,1,18,6,26,159,retail
5,5,0,14,8,10,121,pharmaceutical
6,6,2,10,5,23,203,education
7,7,15,28,9,5,200,retail
8,8,15,3,0,5,214,retail
9,9,13,5,4,3,122,financial
10,10,16,5,8,14,158,software
11,11,11,4,1,6,96,pharmaceutical
12,12,6,17,3,6,66,financial
13,13,3,0,8,27,197,software
14,14,16,18,7,28,155,pharmaceutical
15,15,8,16,4,4,172,financial
16,16,6,22,1,11,82,education
17,17,4,18,3,28,149,pharmaceutical
18,18,3,16,6,22,194,realestate
19,19,8,1,6,7,190,financial
20,20,9,27,3,11,74,realestate
21,21,17,2,0,0,194,financial
22,22,8,29,1,27,137,pharmaceutical
23,23,14,27,4,15,189,realestate
24,24,2,26,1,3,216,financial
25,25,5,5,6,0,96,pharmaceutical
26,26,7,6,7,15,129,software
27,27,18,12,7,1,55,education
28,28,5,4,2,29,120,retail
29,29,8,22,0,26,133,financial
30,30,11,26,0,11,113,education
31,31,8,8,8,22,119,pharmaceutical
32,32,4,1,2,5,163,retail
33,33,16,6,5,7,152,financial
34,34,2,12,1,4,213,financial
35,35,16,24,5,17,155,realestate
36,36,8,26,3,29,145,education
37,37,16,23,6,12,148,pharmaceutical
38,38,4,11,3,18,168,software
39,39,16,28,1,16,156,realestate
40,40,13,6,8,0,118,education
41,41,10,2,4,24,129,retail
42,42,18,9,0,27,66,retail
43,43,5,17,3,14,124,education
44,44,16,1,8,17,159,financial
45,45,4,26,7,24,154,education
46,46,10,2,0,23,118,realestate
47,47,16,8,8,9,146,realestate
48,48,6,7,7,4,79,financial
49,49,8,20,3,27,113,pharmaceutical
50,50,5,10,1,3,108,financial
51,51,13,17,2,1,127,retail
52,52,3,24,7,13,197,realestate
53,53,18,21,1,14,65,financial
54,54,7,18,9,2,144,pharmaceutical
55,55,7,0,9,19,129,software
56,56,12,27,6,11,91,education
57,57,15,27,6,17,196,software
58,58,3,21,6,26,208,retail
59,59,11,24,2,27,95,financial
60,60,19,28,1,24,108,realestate
61,61,18,8,5,4,71,retail
62,62,2,17,4,1,210,realestate
63,63,15,23,3,25,189,realestate
64,64,10,6,2,28,111,education
65,65,0,9,7,9,123,financial
66,66,15,3,3,7,193,pharmaceutical
67,67,6,23,7,8,73,software
68,68,11,3,5,23,96,realestate
69,69,13,3,9,29,129,retail
70,70,10,15,9,8,143,software
71,71,17,26,5,9,205,retail
72,72,10,9,7,25,144,education
73,73,6,4,0,28,51,pharmaceutical
74,74,17,17,3,17,199,retail
75,75,14,21,0,13,190,pharmaceutical
76,76,11,5,0,21,135,realestate
77,77,10,16,3,7,110,pharmaceutical
78,78,5,29,6,21,113,pharmaceutical
79,79,18,7,8,11,81,financial
80,80,7,8,8,17,153,software
81,81,12,6,7,10,88,retail
82,82,9,4,2,17,46,software
83,83,18,23,4,6,73,education
84,84,15,12,7,27,194,realestate
85,85,8,8,2,20,117,education
86,86,2,23,0,13,203,realestate
87,87,10,5,7,2,115,financial
88,88,13,5,3,28,88,retail
89,89,2,7,5,5,217,education
90,90,10,21,3,19,108,software
91,91,13,18,8,4,135,pharmaceutical
92,92,16,18,8,3,147,software
93,93,9,12,5,22,73,financial
94,94,14,19,2,6,186,financial
95,95,17,22,8,25,190,realestate
96,96,6,20,9,2,80,software
97,97,1,19,4,22,168,realestate
98,98,19,1,4,29,94,software
99,99,19,23,0,22,88,education
100,100,16,24,1,11,158,pharmaceutical
101,101,6,23,9,24,39,software
102,102,9,13,6,12,87,financial
103,103,4,26,3,19,159,realestate
104,104,2,0,8,6,217,retail
105,105,17,20,8,19,195,pharmaceutical
106,106,1,5,8,29,200,retail
107,107,6,21,9,16,81,retail
108,108,14,21,0,15,185,pharmaceutical
109,109,2,22,7,14,218,pharmaceutical
110,110,18,25,3,27,62,financial
111,111,18,23,2,21,60,realestate
112,112,16,16,7,14,156,pharmaceutical
113,113,4,25,0,22,162,realestate
114,114,2,2,4,9,216,software
115,115,11,21,8,14,136,pharmaceutical
116,116,11,29,3,24,121,pharmaceutical
117,117,10,24,7,4,155,retail
118,118,18,13,0,27,92,pharmaceutical
119,119,9,18,8,15,105,retail
120,120,15,1,3,5,198,realestate
121,121,2,12,8,15,215,realestate
122,122,16,26,0,10,149,financial
123,123,17,27,6,0,193,pharmaceutical
